title,entities,Genre,Artist,Image URL,Permalink
「東海道　京都之内」「大内能上覧図」,"[(1, 4, 'PLACE'), (5, 7, 'PLACE')]", 名所絵  京都  能楽  紅葉狩 , 芳年,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP0542.jpg,https://www.dh-jac.net/db/nishikie/arcUP0542/2021d7/
「東海道　京都名所之内」「四条河原」,"[(1, 4, 'PLACE'), (5, 7, 'PLACE'), (13, 17, 'PLACE')]", 京都関連  , 豊国,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP0544.jpg,https://www.dh-jac.net/db/nishikie/arcUP0544/2021d7/
「東海道名所之内」「御能拝見之図」,"[(1, 4, 'PLACE')]", 能楽, 暁斎,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1649.jpg,https://www.dh-jac.net/db/nishikie/arcUP1649/2021d7/
「東海道」「京都  紫震殿」,"[(1, 4, 'PLACE'), (6, 8, 'PLACE'), (9, 12, 'PLACE')]",名所絵,芳盛 ,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1732.jpg,https://www.dh-jac.net/db/nishikie/arcUP1732/2021d7/
「東海道之内」「京都参内」,"[(1, 4, 'PLACE'), (8, 10, 'PLACE')]",名所絵 , 芳盛,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1733.jpg,https://www.dh-jac.net/db/nishikie/arcUP1733/2021d7/
「東海道之内」「京」「大内蹴鞠之遊覧」,"[(1, 4, 'PLACE'), (8, 9, 'PLACE'), (11, 13, 'PLACE')]",名所絵, 芳盛,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1734.jpg,https://www.dh-jac.net/db/nishikie/arcUP1734/2021d7/
「東海道名所之内」「上加茂」「岩本社」「三本杉」「片岡社」「楼門」「御供所」「若宮」「別雷皇太神宮」「杉尾社」「仮殿」,"[(1, 4, 'PLACE'), (10, 13, 'PLACE'), (15, 18, 'PLACE'), (20, 23, 'PLACE'), (25, 28, 'PLACE'), (30, 32, 'PLACE'), (34, 37, 'PLACE'), (39, 41, 'PLACE'), (43, 49, 'PLACE'), (51, 54, 'PLACE'), (56, 58, 'PLACE')]",京都関連  名所絵 ,豊国,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1735.jpg,https://www.dh-jac.net/db/nishikie/arcUP1735/2021d7/
「東海道名所之内」「京加茂」「山科」「黒谷」「吉田山」「将軍塚」「比叡山」「比良」,"[(1, 4, 'PLACE'), (10, 13, 'PLACE'), (15, 17, 'PLACE'), (19, 21, 'PLACE'), (23, 26, 'PLACE'), (28, 31, 'PLACE'), (33, 36, 'PLACE'), (38, 40, 'PLACE')]",京都関連  名所絵 , 国貞,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1736.jpg,https://www.dh-jac.net/db/nishikie/arcUP1736/2021d7/
「東海道名所之内」「加茂の競馬」,"[(1, 4, 'PLACE'), (10, 12, 'PLACE')]",京都関連  名所絵 ,暁斎,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1737.jpg,https://www.dh-jac.net/db/nishikie/arcUP1737/2021d7/
「東海道名所之内」「糺河原」「糺川原」「みたらし川」「河合社」,"[(1, 4, 'PLACE'), (10, 13, 'PLACE'), (15, 18, 'PLACE'), (20, 25, 'PLACE'), (27, 30, 'PLACE')]",京都関連, 豊国,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1738.jpg,https://www.dh-jac.net/db/nishikie/arcUP1738/2021d7/
